文档业务编码,公司,业务模块,开始档期,结束档期,归档地,产生地,文档名称,文档生成日期,归档责任人,载体类型,系统来源,密级,描述,保管状态
FUND-DEMO-2026-001,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-001,2026-04-01 10:00:00,admin,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第1行,IN_STORAGE
FUND-DEMO-2026-002,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-002,2026-04-02 10:00:00,admin,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第2行,IN_STORAGE
FUND-DEMO-2026-003,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-003,2026-04-03 10:00:00,admin,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第3行,IN_STORAGE
FUND-DEMO-2026-004,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-004,2026-04-04 10:00:00,admin,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第4行,IN_STORAGE
FUND-DEMO-2026-005,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-005,2026-04-05 10:00:00,admin,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第5行,IN_STORAGE
FUND-DEMO-2026-006,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-006,2026-04-06 10:00:00,admin,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第6行,IN_STORAGE
FUND-DEMO-2026-007,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-007,2026-04-07 10:00:00,admin,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第7行,IN_STORAGE
FUND-DEMO-2026-008,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-008,2026-04-08 10:00:00,admin,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第8行,IN_STORAGE
FUND-DEMO-2026-009,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-009,2026-04-09 10:00:00,admin,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第9行,IN_STORAGE
FUND-DEMO-2026-010,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-04,2026-04,SHANGHAI,SHANGHAI,资金文档-付款申请-演示-010,2026-04-10 10:00:00,admin,ELECTRONIC,PORTAL,INTERNAL,批量导入演示第10行,IN_STORAGE
