文档业务编码,公司,业务模块,开始档期,结束档期,归档地,产生地,文档名称,文档生成日期,归档责任人,载体类型,系统来源,密级,描述,保管状态
ACC-VFY-20260430-001,CP-DEMO-001,FIN_ACC_VCH_AP,2026-06,2026-06,310000,CN,验证批导-应付凭证-成功01,2026-04-30 10:01:00,admin,ELECTRONIC,PORTAL,INTERNAL,20260430验证集-成功1,IN_STORAGE
ACC-VFY-20260430-002,CP-DEMO-001,FIN_ACC_VCH_AR,2026-06,2026-06,310000,CN,验证批导-应收凭证-成功02,2026-04-30 10:02:00,admin,ELECTRONIC,PORTAL,INTERNAL,20260430验证集-成功2,IN_STORAGE
ACC-VFY-20260430-003,CP-DEMO-001,FIN_ACC_BOOK_GL,2026-06,2026-06,310000,CN,验证批导-总账-成功03,2026-04-30 10:03:00,admin,ELECTRONIC,PORTAL,INTERNAL,20260430验证集-成功3,IN_STORAGE
ACC-VFY-20260430-004,CP-DEMO-001,FIN_ACC_RPT_BS,2026-06,2026-06,310000,CN,验证批导-资产负债表-成功04,2026-04-30 10:04:00,admin,ELECTRONIC,PORTAL,INTERNAL,20260430验证集-成功4,IN_STORAGE
ACC-VFY-20260430-005,CP-DEMO-001,FIN_ACC_CLOSE_RECON,2026-06,2026-06,310000,CN,验证批导-对账单-成功05,2026-04-30 10:05:00,admin,ELECTRONIC,PORTAL,INTERNAL,20260430验证集-成功5,IN_STORAGE
,CP-DEMO-001,FIN_ACC_VCH_AP,2026-06,2026-06,310000,CN,验证批导-失败-业务编码为空,2026-04-30 10:06:00,admin,ELECTRONIC,PORTAL,INTERNAL,失败：文档业务编码为空,IN_STORAGE
ACC-VFY-FAIL-002,CP-NOT-EXIST,FIN_ACC_VCH_AP,2026-06,2026-06,310000,CN,验证批导-失败-公司不存在,2026-04-30 10:07:00,admin,ELECTRONIC,PORTAL,INTERNAL,失败：公司编码不存在,IN_STORAGE
ACC-VFY-FAIL-003,CP-DEMO-001,FIN_FUND_PAYMENT_PAY,2026-06,2026-06,310000,CN,验证批导-失败-模块非会计根,2026-04-30 10:08:00,admin,ELECTRONIC,PORTAL,INTERNAL,失败：模块属资金非会计,IN_STORAGE
ACC-VFY-FAIL-004,CP-DEMO-001,FIN_ACC_VCH_AP,2026/06,2026-06,310000,CN,验证批导-失败-档期格式,2026-04-30 10:09:00,admin,ELECTRONIC,PORTAL,INTERNAL,失败：开始档期须 yyyy-MM,IN_STORAGE
ACC-VFY-FAIL-005,CP-DEMO-001,FIN_ACC_VCH_AP,2026-06,2026-06,310000,CN,验证批导-失败-密级非法,2026-04-30 10:10:00,admin,ELECTRONIC,PORTAL,内部X,失败：密级无法解析,IN_STORAGE
